Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Freestyle Monkeys,Feb24Samstag,"ab 22,00 €",1 Einheit,VerticalArts Pole & Aerial Fitness,"Olgastraße 48, 70182 Stuttgart",https://www.eversports.de/e/workshop/n8VQ6w4
Aerial Hoop Fortgeschritten,Jan05bis Feb 02,"ab 68,00 €",5 Einheiten,Pole Plus,"Ulmer Straße 152, 86156 Augsburg",https://www.eversports.de/e/workshop/NHtp6Mw
Flexibility Workshop,Jan08bis Jan 29,"ab 48,00 €",4 Einheiten,Pole Plus,"Ulmer Straße 152, 86156 Augsburg",https://www.eversports.de/e/workshop/CRl1muH
Aerial Hoop Beginner,Feb09bis März 08,"ab 68,00 €",5 Einheiten,Pole Plus,"Ulmer Straße 152, 86156 Augsburg",https://www.eversports.de/e/workshop/upSDQIA
Workshop mit @bou_boulette (Janine Hollung),März02bis März 02,"ab 65,00 €",2 Einheiten,POLEside,"Weststraße 1, 74193 Schwaigern",https://www.eversports.de/e/workshop/llCPKoMLh
Pole Probestunde,Jan20Samstag,"ab 17,00 €",1 Einheit,Flexx Arts - Aerial Dance & Fitness,"Rudolf-Diesel-Straße 12, 87700 Memmingen",https://www.eversports.de/e/workshop/w_HeJv0
Pole Probestunde,Feb02Freitag,"ab 17,00 €",1 Einheit,Flexx Arts - Aerial Dance & Fitness,"Rudolf-Diesel-Straße 12, 87700 Memmingen",https://www.eversports.de/e/workshop/nCNxtqP
Exotic Pole,Feb02Freitag,"ab 30,00 €",1 Einheit,Flexx Arts - Aerial Dance & Fitness,"Rudolf-Diesel-Straße 12, 87700 Memmingen",https://www.eversports.de/e/workshop/usGEL57
Pole Probestunde,Feb23Freitag,"ab 17,00 €",1 Einheit,Flexx Arts - Aerial Dance & Fitness,"Rudolf-Diesel-Straße 12, 87700 Memmingen",https://www.eversports.de/e/workshop/_EBraSK
Show Night ,Jan27Samstag,"ab 10,00 €",1 Einheit,POLE HEROES,"Karl-Zucker-Straße 7-9, 91052 Erlangen",https://www.eversports.de/e/workshop/6blRZdc
Pole Akrobatik Workshop,Dez27Mittwoch,"ab 25,00 €",1 Einheit,Glow Sports Club,"Industriepark 201, 78244 Gottmadingen",https://www.eversports.de/e/workshop/cUAsf8y
